feature,mean_abs_model_contribution,coefficient,model,importance_type
state_OR,0.0014309250877016,0.0056572280431458144,Control Model,standardized_logit_contribution
state_UT,0.0013086888195506725,-0.038932117684233214,Control Model,standardized_logit_contribution
county_SALT_LAKE,0.0013086888195506725,-0.038932117684233214,Control Model,standardized_logit_contribution
county_DEL_NORTE,0.0012351644267292006,-0.03674484423066299,Control Model,standardized_logit_contribution
state_ID,0.0009973336666851981,-0.02966962894599142,Control Model,standardized_logit_contribution
county_ADA,0.0009973336666851981,-0.02966962894599142,Control Model,standardized_logit_contribution
county_HENRICO,0.00031772889368452534,-0.009452100832384474,Control Model,standardized_logit_contribution
state_VA,0.00031772889368452534,-0.009452100832384474,Control Model,standardized_logit_contribution
state_WA,0.0,0.0,Control Model,standardized_logit_contribution
state_TX,0.0,0.0,Control Model,standardized_logit_contribution
state_Unseen,0.0,0.0,Control Model,standardized_logit_contribution
state_CA,0.0,0.0,Control Model,standardized_logit_contribution
risk_tier_4,0.0,0.0,Control Model,standardized_logit_contribution
state_FL,0.0,0.0,Control Model,standardized_logit_contribution
state_MT,0.0,0.0,Control Model,standardized_logit_contribution
county_HARNEY,0.0,0.0,Control Model,standardized_logit_contribution
county_Unseen,0.0,0.0,Control Model,standardized_logit_contribution
county_HAYS,0.0,0.0,Control Model,standardized_logit_contribution
op_visits_last_6m,0.0,0.0,Control Model,standardized_logit_contribution
gender_Unseen,0.0,0.0,Control Model,standardized_logit_contribution
county_CLATSOP,0.0,0.0,Control Model,standardized_logit_contribution
county_FLAGLER,0.0,0.0,Control Model,standardized_logit_contribution
county_GRANT,0.0,0.0,Control Model,standardized_logit_contribution
county_GRAY,0.0,0.0,Control Model,standardized_logit_contribution
county_HOOD_RIVER,0.0,0.0,Control Model,standardized_logit_contribution
county_WASHINGTON,0.0,0.0,Control Model,standardized_logit_contribution
county_LASSEN,0.0,0.0,Control Model,standardized_logit_contribution
county_MULTNOMAH,0.0,0.0,Control Model,standardized_logit_contribution
county_MUSSELSHELL,0.0,0.0,Control Model,standardized_logit_contribution
county_RIVERSIDE,0.0,0.0,Control Model,standardized_logit_contribution
county_SACRAMENTO,0.0,0.0,Control Model,standardized_logit_contribution
county_SAN_DIEGO,0.0,0.0,Control Model,standardized_logit_contribution
risk_tier_Unseen,0.0,0.0,Control Model,standardized_logit_contribution
